id,comentario,toxicidad,constructividad
298,"Qué forma más horrorosa de morir. Apaleada (por el hombre al que había, probablemente, amado). Pensadlo un momento; ni un animal se merece una muerte así. Cuánto tiempo tardará en salir ese monstruo de la cárcel? 4,5 años? O cambiamos el sistema: leyes, penas, etc..o esto irá a peor. Qué justicia más injusta tenemos en España.",2. Ligeramente tóxico,no
2792,"Falta por poner como turistas a los que vengan de Corea del Norte, que como en China tiene menos contagios y muertos que Europa. Gilipolleces de los europeos, lo que tendrían que haber hecho es aprovechar este tiempos para montar empresas que hagan test rápidos y fiables, a millones para abaratar el coste de estos test y obligar a los viajeros a hacerse un test en origen, y aunque tarden un tiempo en tener resultados de los test, tiene el tiempo del viaje hasta que aterrice en Europa y tomar decisiones si dentro del avión ha dado alguno positivo",2. Ligeramente tóxico,sí
139,"No sé González pero Rajoy tras un primer mandato malo a pesar de su mayoría absoluta y su nefasto segundo mandato en minoría, siendo el único caso de un Presidente echado tras una moción de censura ¿No sería mejor que estuviera calladito?",2. Ligeramente tóxico,sí
535,@berberecho #195 que no fue sado porque salió volando,1. No tóxico,no
945,"#5: Da igual que se hable del master de cifuentes, de comisiones, o de cualquier otro chanchullo monumental en el gobierno.. nunca pasa nada.. nadie tiene ninguna responsabilidad politica por sus actos.. Y cuando llegan las elecciones sus sabios votantes deciden para ir a peor mejor seguir con los corruptos de toda la vida.. Y ahi sigue españa y los españoles.. viendo la mafia pasar.. digo la vida!",2. Ligeramente tóxico,no
2087,PP=VOX,3. Tóxico,no
1771,@kubmarcos #16 en una de esas la confecciona tezanos,1. No tóxico,no
2467,Ni aún así cumplirá lo prometido. Otra más... Mentirusca gorda.,2. Ligeramente tóxico,no
2280,Esto se esperaba. El rodillo funciona y funcionará. La solución es no utilizar los pinganillos los del PP,2. Ligeramente tóxico,sí
727,"Evidentemente, dejar la economía y los sectores productivos en manos bolcheviques, sólo llevan a la miseria y dictadura",3. Tóxico,no
1978,La estupidez consiste en repetir una y otra vez el mismo error esperando cada vez un resultado distinto.,2. Ligeramente tóxico,no
2322,"Y gracias a que Pedro Sánchez ya tiene aprobado el techo de gastos para los presupuestos, que sino le hubiera tocado ir también a Perpiñán acompañado por sus 21 ministros a dorarle la píldora.",2. Ligeramente tóxico,sí
1621,"Fuerza, mucha fuerza, Dani, eres un superheroe y sin dudas un gran heroe de los animales. Ellos te necesitan muchisimo!",1. No tóxico,no
63,"Hay otras omisiones más flagrantes. La más grave, quizás, es la falta de reconocimiento de que la existencia misma de la UE fue posible gracias a las campañas militares tanto del Ejército Rojo como de otros grupos afiliados al comunismo. Los nazis no fueron derrotados por una lista de demócratas benévolos y de mentalidad liberal, como lo han presentado algunas películas nostálgicas, como la reciente Dunkerque de Christopher Nolan. La victoria, como la mayoría de los europeos aprenden en la escuela, fue gracias al Acuerdo de Yalta, que vio una alianza renuente no entre los soviéticos y los nazis, sino entre los soviéticos, los británicos y los estadounidenses. Los yanquis y los tommies desempeñaron su papel, sí, pero también lo hicieron los millones de soldados rusos que murieron en el frente oriental, sin mencionar los movimientos partisanos italianos, franceses y otros, la mayoría de los cuales estaban motivados por alguna visión del comunismo.",1. No tóxico,sí
900,Lo q tu ves. Yo veo que jugar la copa del Rey y la Liga española. España 5...España 0,1. No tóxico,no
463,"Es peligrosísimo tener a un enano mental dirigiendo una potencia mundial. ¿Es que no hay gente normal en EEUU? Este tío estaba pagándole a la actriz porno 130.000 $ para cerrarle la boca y la orden siguiente fué ""atacar a Siria"" Estamos listos con esta tropa. Que Dios nos coja confesados.",3. Tóxico,no
1732,"¡Falabarato! Preciosa expresión, de una sonoridad más que acogedora. A ver si encuentro un sinónimo en panocho... 👍",2. Ligeramente tóxico,no
1506,@Markad #511 ¿Es racismo repetir bulos como estos una y otra vez? A ver si nos enteramos que ni los unos son tan buenos ni los otros son tan malos y viceversa! Que todos somos las dos caras de la misma moneda! Y que los odios cruzados es lo que está aniquilando nuestra sociedad!,2. Ligeramente tóxico,sí
1093,@Orry #7 Hay que saber perder... Se pasa antes la pena.,1. No tóxico,no
1910,Peyró se te han olvidado los muertos del 11M,2. Ligeramente tóxico,sí
2632,Dejando a un lado las ideologías es que estamos gobernados por políticos cada día más inútiles. Es que no saben ni trincar. Esta señora ha utilizado el viejo truco de trocear contratos.,2. Ligeramente tóxico,no
1431,"#63DE RARO NADA.. Según lo que ha dicho Errejón, saben que la izquierda y Podemos no van conquistar el poder por la mejora de la economía lo que vienen a decir que cuando peor nos vaya a los españoles mejor para ellos. Por lo que tienen que calentar la calle, internet y las redes sociales para asaltar el poder ya sea por lo de la manada o por lo del master de Cifuentes, tal y como hicieron con el 11M con el ""¿quién a sido?"".",2. Ligeramente tóxico,sí
756,"@Jarras Y tú deberías ir al proctólogo a que mire tus problemas con los condilomas perianales. A pastar, nene",3. Tóxico,no
1436,que se pongan a trabajar como el resto? o que se pongan a mangar?como el resto,2. Ligeramente tóxico,no
1786,@santoypaciente 295. Gracias,1. No tóxico,no
270,"Se agradecería algo de periodismo serio y de investigación, porque no es casualidad que en los últimos decenios nos regalen estas epidemias sin precedentes de virus ""extraños"". Por ejemplo, habría que saber qué piensan del desarrollo de la genética artificial que ha permitido ""resucitar"" virus como el de la mal llamada gripe ""española"", y los experimentos que han añadido inserciones de proteínas VIH y m.tuberculosis en dicho virus, con consecuencias impredecibles. Para los escépticos, si leen inglés, vean esta publicación sobre los virus sintéticos: http://cort.as/-VCi3",3. Tóxico,no
926,Artículos para fomentar la ignorancia jajaja.,2. Ligeramente tóxico,no
2459,Y todo por una p....,3. Tóxico,no
2673,Aguado traidor vete a tu casa.,3. Tóxico,no
2894,"Que vergüenza de gobierno tenemos en España. Es lamentable, P Sanchez vive en otra galaxia...",3. Tóxico,no
2597,@Edgar16 #3 está señora solo pasaba por allí. Todo el mérito es de Ayuso y de Fracasado. Típico de peperos.,3. Tóxico,no
