texto,prediccion,confianza
"Qué forma más horrorosa de morir. Apaleada (por el hombre al que había, probablemente, amado). Pensadlo un momento; ni un animal se merece una muerte así. Cuánto tiempo tardará en salir ese monstruo de la cárcel? 4,5 años? O cambiamos el sistema: leyes, penas, etc..o esto irá a peor. Qué justicia más injusta tenemos en España.",Normal,0.52
"Falta por poner como turistas a los que vengan de Corea del Norte, que como en China tiene menos contagios y muertos que Europa. Gilipolleces de los europeos, lo que tendrían que haber hecho es aprovechar este tiempos para montar empresas que hagan test rápidos y fiables, a millones para abaratar el coste de estos test y obligar a los viajeros a hacerse un test en origen, y aunque tarden un tiempo en tener resultados de los test, tiene el tiempo del viaje hasta que aterrice en Europa y tomar decisiones si dentro del avión ha dado alguno positivo",Sarcástico,0.74
"No sé González pero Rajoy tras un primer mandato malo a pesar de su mayoría absoluta y su nefasto segundo mandato en minoría, siendo el único caso de un Presidente echado tras una moción de censura ¿No sería mejor que estuviera calladito?",Normal,0.67
@berberecho #195 que no fue sado porque salió volando,Sarcástico,0.67
"#5: Da igual que se hable del master de cifuentes, de comisiones, o de cualquier otro chanchullo monumental en el gobierno.. nunca pasa nada.. nadie tiene ninguna responsabilidad politica por sus actos.. Y cuando llegan las elecciones sus sabios votantes deciden para ir a peor mejor seguir con los corruptos de toda la vida.. Y ahi sigue españa y los españoles.. viendo la mafia pasar.. digo la vida!",Sarcástico,0.93
PP=VOX,Normal,0.56
@kubmarcos #16 en una de esas la confecciona tezanos,Normal,0.56
Ni aún así cumplirá lo prometido. Otra más... Mentirusca gorda.,Sarcástico,0.82
Esto se esperaba. El rodillo funciona y funcionará. La solución es no utilizar los pinganillos los del PP,Sarcástico,0.63
"Evidentemente, dejar la economía y los sectores productivos en manos bolcheviques, sólo llevan a la miseria y dictadura",Sarcástico,0.93
La estupidez consiste en repetir una y otra vez el mismo error esperando cada vez un resultado distinto.,Sarcástico,0.77
"Y gracias a que Pedro Sánchez ya tiene aprobado el techo de gastos para los presupuestos, que sino le hubiera tocado ir también a Perpiñán acompañado por sus 21 ministros a dorarle la píldora.",Sarcástico,0.79
"Fuerza, mucha fuerza, Dani, eres un superheroe y sin dudas un gran heroe de los animales. Ellos te necesitan muchisimo!",Normal,0.62
