texto,sentimiento,probabilidad
"Qué forma más horrorosa de morir. Apaleada (por el hombre al que había, probablemente, amado). Pensadlo un momento; ni un animal se merece una muerte así. Cuánto tiempo tardará en salir ese monstruo de la cárcel? 4,5 años? O cambiamos el sistema: leyes, penas, etc..o esto irá a peor. Qué justicia más injusta tenemos en España.",neu,0.7114489311163894
"Falta por poner como turistas a los que vengan de Corea del Norte, que como en China tiene menos contagios y muertos que Europa. Gilipolleces de los europeos, lo que tendrían que haber hecho es aprovechar este tiempos para montar empresas que hagan test rápidos y fiables, a millones para abaratar el coste de estos test y obligar a los viajeros a hacerse un test en origen, y aunque tarden un tiempo en tener resultados de los test, tiene el tiempo del viaje hasta que aterrice en Europa y tomar decisiones si dentro del avión ha dado alguno positivo",pos,0.6143243908442036
"No sé González pero Rajoy tras un primer mandato malo a pesar de su mayoría absoluta y su nefasto segundo mandato en minoría, siendo el único caso de un Presidente echado tras una moción de censura ¿No sería mejor que estuviera calladito?",neg,0.6022944550669216
@berberecho #195 que no fue sado porque salió volando,neg,0.6022944550669216
"#5: Da igual que se hable del master de cifuentes, de comisiones, o de cualquier otro chanchullo monumental en el gobierno.. nunca pasa nada.. nadie tiene ninguna responsabilidad politica por sus actos.. Y cuando llegan las elecciones sus sabios votantes deciden para ir a peor mejor seguir con los corruptos de toda la vida.. Y ahi sigue españa y los españoles.. viendo la mafia pasar.. digo la vida!",neg,0.5675675675675672
PP=VOX,neg,0.33546325878594246
@kubmarcos #16 en una de esas la confecciona tezanos,neg,0.33546325878594246
Ni aún así cumplirá lo prometido. Otra más... Mentirusca gorda.,neg,0.6022944550669216
Esto se esperaba. El rodillo funciona y funcionará. La solución es no utilizar los pinganillos los del PP,neu,0.45111151274173145
"Evidentemente, dejar la economía y los sectores productivos en manos bolcheviques, sólo llevan a la miseria y dictadura",neg,0.5699147066425431
La estupidez consiste en repetir una y otra vez el mismo error esperando cada vez un resultado distinto.,neg,0.33546325878594246
"Y gracias a que Pedro Sánchez ya tiene aprobado el techo de gastos para los presupuestos, que sino le hubiera tocado ir también a Perpiñán acompañado por sus 21 ministros a dorarle la píldora.",neu,0.8269464384318056
"Fuerza, mucha fuerza, Dani, eres un superheroe y sin dudas un gran heroe de los animales. Ellos te necesitan muchisimo!",neg,0.5687626668070432
"Hay otras omisiones más flagrantes. La más grave, quizás, es la falta de reconocimiento de que la existencia misma de la UE fue posible gracias a las campañas militares tanto del Ejército Rojo como de otros grupos afiliados al comunismo. Los nazis no fueron derrotados por una lista de demócratas benévolos y de mentalidad liberal, como lo han presentado algunas películas nostálgicas, como la reciente Dunkerque de Christopher Nolan. La victoria, como la mayoría de los europeos aprenden en la escuela, fue gracias al Acuerdo de Yalta, que vio una alianza renuente no entre los soviéticos y los nazis, sino entre los soviéticos, los británicos y los estadounidenses. Los yanquis y los tommies desempeñaron su papel, sí, pero también lo hicieron los millones de soldados rusos que murieron en el frente oriental, sin mencionar los movimientos partisanos italianos, franceses y otros, la mayoría de los cuales estaban motivados por alguna visión del comunismo.",neg,0.6022944550669216
Lo q tu ves. Yo veo que jugar la copa del Rey y la Liga española. España 5...España 0,neu,0.8269464384318056
